CUE	FIRST	HIGHER	RAND	ASSOC﻿
好	坏	蛋	事件	0.23
﻿猫	狗	人	炒菜	0.24
非常	特别	好吃	战争	0.16
经常	常常	从不	逻辑	0.23
﻿男	女	强壮	可爱	0.41
核	武器	核污染	怪异	0.09
角落	灰尘	房间	歌	0.12
你	我	爱	夏天	0.46
群	羊	牛群	受难	0.16
太平洋	大西洋	夏威夷	鱼	0.2
谢谢	不客气	你好	交通	0.28
推	拉	推荐	让座	0.22
肥胖	减肥	病	之乎者也	0.17
错	对	失败	太平洋	0.37
不	拒绝	拒	苦难	0.18
北	南	冷	错误	0.23
这里	那里	这边	跑步	0.57
充足	时间	富余	红色	0.12
前	后	面	充满	0.41
蜘蛛网	蜘蛛	蜘蛛丝	土地	0.42
然后	接着	最后	肝脏	0.16
问	问题	歌曲	羊	0.3
有趣	好玩	好笑	错误	0.19
座位	让座	第一排	埃及	0.11
消耗	体力	粮食	冬天	0.15
不对	错误	反对	尖酸	0.2
睡眠	失眠	梦境	均沾	0.12
污垢	脏	污泥	烦恼	0.39
破壞	环境	破碎	鱼	0.12
唱	歌	合唱	辛苦	0.45
冰冷	冬天	雪糕	体力	0.17
壓力	动力	痛苦	人	0.14
活	死	人生	人才	0.19
大西洋	太平洋	海岸	公正	0.24
保持	身材	持续	衣服	0.16
笨蛋	傻瓜	大	大西洋	0.3
裁判	足球	法官	尸体	0.22
弗洛伊德	心理学	人	五	0.24
巢	鸟	鸟窝	电脑	0.2
金字塔	埃及	古代	仅仅	0.42
臭	香	鸡蛋	身材	0.22
桶	水	垃圾桶	签字	0.24
撕裂	疼痛	受伤	怪异	0.18
四	五	十四	水	0.26
新娘	新郎	白色	父母	0.16
看守	监狱	所	燕尾服	0.35
空	天空	蓝色	脏	0.16
牛	羊	奶	榜样	0.14
痛苦	疾病	忍耐	疯狂	0.11
害怕	恐惧	失败	喷发	0.22
相似	双胞胎	朋友	可亲	0.17
脊柱	背	骨髓	熊猫	0.12
微小	渺小	微弱	女	0.14
草地	绿色	公园	羊	0.24
遭受	苦难	经历	心	0.21
逮捕	警察	坏人	自强	0.27
乘	车	飞机	夏天	0.16
想像	联想	小孩子	恐惧	0.17
火山	喷发	地震带	疑问	0.21
小伙子	小姑娘	小青年	恐惧	0.18
腿	脚	肌肉	爸爸	0.13
喜	结婚	孩子	交通	0.2
耳朵	鼻子	听觉	水	0.13
下跪	膝盖	古代	身材	0.12
或者	也许	不然	车夫	0.2
生菜	沙拉	食物	发卡	0.13
毛衣	暖和	外套	痒	0.11
日常	生活	无聊	问题	0.36
滑	滑冰	摔跤	公正	0.23
而且	但是	可能	鼻子	0.27
地球	蓝色	银河	新郎	0.18
水果	苹果	健康	让座	0.24
除	乘	符号	悲惨世界	0.18
短裙	夏天	短裤	隔壁	0.11
五	六	九	易碎	0.2
正常	不正常	情况	好看	0.25
跳蚤	痒	头发	大姐	0.26
奇怪	怪异	不解	呼吸	0.1
速度	快	车速	喷发	0.26
习惯	自然	习性	尸体	0.16
衣柜	衣服	帽子	快乐	0.31
分别	再见	不同	痒	0.12
让步	妥协	后退	让座	0.3
希特勒	德国	日本	绿色	0.23
键	键盘	手机	晕倒	0.31
感性	理性	感情	事情	0.33
童年	快乐	歌曲	均沾	0.13
肺	呼吸	健康	网络	0.18
能力	强	知识	鼻子	0.11
普及	普通话	英语	人类	0.19
互惠	互利	钱	经济	0.4
挫折	失败	努力	苹果	0.24
高山	流水	大海	鱼	0.42
强迫症	处女座	偏执	烦恼	0.15
仇恨	复仇	仇人	不正常	0.09
治疗	医院	加血	羊	0.2
狭小	空间	洞穴	落下	0.19
密封	罐子	考试	时间	0.14
财运	亨通	金钱	心理学	0.1
家属	爸爸	家庭	腿	0.12
挤	地铁	公车	领导	0.32
肝	肝脏	努力	国家	0.09
完成	任务	开心	自强	0.21
跳楼	自杀	作死	狗	0.45
瘸	腿	脚	背	0.23
物质	精神	利益	斑马线	0.19
斑点	狗	下雨	价格	0.36
极限	挑战	限制	可爱	0.35
大理石	地板	地面	身高	0.15
大车	卡车	客车	不正常	0.21
感受	感觉	内心	香	0.18
心烦	意乱	不安	结婚	0.33
避免	错误	回避	心	0.16
行动	迅速	任务	亨通	0.16
消毒水	医院	泳池	起点	0.22
者	之乎者也	行者	快乐	0.25
田野	希望	天空	淘宝	0.09
贱人	矫情	坏人	动力	0.19
內褲	内衣	三角	总统	0.24
粘稠	粥	稀疏	渺小	0.22
字	词	笔	床	0.12
病毒	电脑	公司	互利	0.13
干嘛	疑问	做事	人才	0.06
思维	逻辑	混乱	罐子	0.16
花	草	花园	理性	0.12
竹	熊猫	松	客服	0.19
恐吓	威胁	恐惧	灰尘	0.19
茶道	日本	规矩	监狱	0.16
大道	罗马	小路	签字	0.15
重男轻女	农村	男人	工作	0.16
恒星	太阳	天体	力量	0.28
蚂蚱	蚂蚁	害虫	背	0.12
领导	上级	老师	可爱	0.09
输液	医院	手术	快乐	0.24
土壤	土地	水稻	车	0.14
牵动	心	心思	爱迪生	0.11
歇斯底里	疯狂	精神病	腿	0.14
腮红	化妆	女人	力量	0.15
明月	几时有	诗歌	仅仅	0.16
投诉	客服	抗议	心	0.12
国旗	红色	黄色	疾病	0.22
占有	欲望	爱	自强	0.17
金融	经济	贸易	新郎	0.14
洞穴	山顶洞人	动物	香	0.16
填满	充满	房间	环境	0.1
设备	电脑	齐全	再见	0.16
知识	力量	强大	蓝色	0.21
云	白色	蓝天	山顶洞人	0.14
有钱人	土豪	富贵	客服	0.18
保護	保护	动物	脸	0.17
心灰意冷	失望	失败	后	0.12
头饰	发卡	女性	强	0.12
幸福	快乐	祝福	医院	0.23
清真	穆斯林	爆炸	尖酸	0.15
前程	似锦	大好	可爱	0.21
混凝土	钢筋	工程	签字	0.19
劳累	辛苦	上班	理性	0.23
作为	成就	老师	强迫	0.12
章鱼	鱿鱼	芥末	隔壁	0.1
外貌	好看	重要	医院	0.15
卓越	优秀	聪明	水	0.22
战友	战争	生死	价格	0.2
豆腐	西施	食物	处女座	0.1
重	轻	重庆	新郎	0.19
很长	时间	身高	足球	0.18
晚礼服	燕尾服	西服	吃	0.07
香槟	酒	泡沫	车夫	0.2
再	再见	去	稳定	0.15
舒服	床	洗澡	身材	0.14
注解	解释	意思	轻	0.23
人	人类	自然	逻辑	0.24
起义	农民	民族	事件	0.16
不定	稳定	计划	太阳	0.1
食物	吃	饮料	胸怀	0.24
阵地	战争	抗战	草	0.19
泛滥	洪水	母爱	保护	0.25
运行	程序	启动	爸爸	0.22
落	落下	自杀	土豪	0.09
大哥	大姐	大佬	工资	0.21
音乐剧	悲惨世界	剧场	意志	0.11
绸缎	丝绸	华丽	落下	0.38
嘴唇	口红	柔软	问题	0.2
当面	交流	交谈	结婚	0.12
妇女	儿童	家庭	后	0.18
反叛	叛逆	精神	医院	0.21
儿女	父母	快乐	佩服	0.15
时长	时间	无聊	鱼	0.32
邻居	隔壁	帮助	丢手绢	0.11
運動	跑步	革命	休息	0.22
受苦	受难	坚强	被子	0.23
一切	所有	重要	蛋白质	0.43
为什么	疑问	这样	通过	0.11
自律	自强	习惯	疼痛	0.13
电线杆	电线	电流	解释	0.15
僵硬	尸体	头脑	优秀	0.17
杰出	人才	作家	客服	0.21
川普	总统	白人	夏天	0.18
宽广	胸怀	天地	希望	0.17
源头	水	污染	四川	0.09
敬佩	佩服	偶像	总统	0.17
亲	淘宝	情侣	膝盖	0.17
携带	病毒	疾病	起点	0.15
鳍	鱼	鱼翅	事情	0.53
插入	拔出	电源	受难	0.1
军区	军人	实验	四川	0.13
挨打	疼	父母	失败	0.11
丑小鸭	白天鹅	公主	事情	0.3
猫咪	可爱	喵喵	洪水	0.23
协商	商量	政治协商	蚂蚁	0.13
流动	水	动车	沙拉	0.4
疲惫	累	学习	无限	0.22
网站	网络	新浪	吃	0.12
