Word	Pos	Class	Abstractness_score
命运	N	abstract	4.517241
理想	N	abstract	4.434783
魂魄	N	abstract	4.4
气量	N	abstract	4.375
玄学	N	abstract	4.363636
暗喻	Nv	abstract	4.36
感情	N	abstract	4.347826
感觉	Nv	abstract	4.344828
圣灵	N	abstract	4.3
信念	N	abstract	4.296296
意识	N	abstract	4.290323
炼狱	N	abstract	4.269231
思维	N	abstract	4.266667
理念	N	abstract	4.26087
梦想	N	abstract	4.26087
属性	N	abstract	4.259259
境界	N	abstract	4.25
雅兴	N	abstract	4.25
契机	N	abstract	4.241379
灵魂	N	abstract	4.230769
画风	N	abstract	4.214286
杀气	N	abstract	4.2
法力	N	abstract	4.2
惆怅	Nv	abstract	4.194444
红尘	N	abstract	4.176471
气势	N	abstract	4.173913
假设	Nv	abstract	4.166667
迷惘	Nv	abstract	4.16129
神韵	N	abstract	4.16
格调	N	abstract	4.16
创世	Nv	abstract	4.157895
广义	N	abstract	4.15625
渊源	N	abstract	4.153846
灵性	N	abstract	4.153846
妙法	N	abstract	4.15
基调	N	abstract	4.142857
玄机	N	abstract	4.136364
灵气	N	abstract	4.133333
裨益	N	abstract	4.125
默契	N	abstract	4.125
因果	N	abstract	4.115385
良心	N	abstract	4.111111
尖酸	Nadj	abstract	4.111111
虚伪	Nadj	abstract	4.103448
其间	N	abstract	4.1
概念	N	abstract	4.1
民主	N	abstract	4.1
造化	N	abstract	4.086957
旧时	N	abstract	4.086957
表征	N	abstract	4.086957
构思	Nv	abstract	4.083333
意义	N	abstract	4.08
韵味	N	abstract	4.08
元气	N	abstract	4.08
荣华	N	abstract	4.08
体验	Nv	abstract	4.076923
动感	Nadj	abstract	4.076923
神志	N	abstract	4.074074
心思	N	abstract	4.043478
化身	N	abstract	4.041667
抹黑	Nv	abstract	4.041667
含意	N	abstract	4.038462
文风	N	abstract	4.038462
邪念	N	abstract	4.038462
威风	N	abstract	4.038462
气氛	N	abstract	4.037037
利害	N	abstract	4.035714
修炼	Nv	abstract	4.035714
意思	N	abstract	4.033333
逻辑	N	abstract	4.0
含义	N	abstract	4.0
寄托	Nv	abstract	4.0
时势	N	abstract	4.0
功德	N	abstract	4.0
